id,tweet,subtask_a,subtask_b,subtask_c
86426,"['ask', 'native', 'americans', 'take']",OFF,UNT,
90194,"['go', 'home', 'drunk', 'maga', 'trump', 'oncoming_fist', 'United_States', 'oncoming_fist', 'url']",OFF,TIN,IND
16820,"['amazon', 'investigating', 'chinese', 'employees', 'selling', 'internal', 'data', 'third', 'party', 'sellers', 'looking', 'edge', 'competitive', 'marketplace', 'url', 'amazon', 'maga', 'kag', 'china', 'tcot']",NOT,,
62688,"['someone', 'vetaken', 'piece', 'shit', 'volcano', 'face_with_tears_of_joy']",OFF,UNT,
43605,"['obama', 'wanted', 'liberals', 'illegals', 'move', 'red', 'states']",NOT,,
97670,"['liberals', 'kookoo']",OFF,TIN,OTH
77444,"['oh', 'noes', 'tough', 'shit']",OFF,UNT,
52415,"['literally', 'talking', 'lol', 'mass', 'shootings', 'like', 'set', 'ups', 'propaganda', 'used', 'divide', 'us', 'major', 'issues', 'like', 'gun', 'control', 'terrorism']",OFF,TIN,GRP
45157,"['buy', 'icecream']",NOT,,
13384,"['canada', 'need', 'another', 'cuck', 'already', 'enough', 'looneyleft', 'liberals', 'f', 'king', 'great', 'country', 'qproofs', 'trudeaumustgo']",OFF,TIN,IND
82776,"['fault', 'support', 'gun', 'control']",NOT,,
42992,"['difference', 'kavanaugh', 'one', 'men', 'admitted', 'groping', 'year', 'old', 'girl', 'years', 'ago', 'going', 'confirmed', 'scj', 'demsarefrauds', 'demsaredone', 'walkawaydemocrats', 'redwave', 'voteredsaveamerica', 'trumptrain', 'maga', 'url']",NOT,,
28414,"['lying', 'corrupt', 'traitor', 'nobody', 'wants', 'hear', 'anymore', 'lies', 'deepstatecorruption', 'url']",OFF,TIN,IND
54920,"['scare', 'every', 'american', 'playing', 'hockey', 'warped', 'puck']",NOT,,
56392,"['like', 'soda', 'like', 'like', 'boarders', 'lot', 'ice']",NOT,,
86735,"['also', 'king', 'taste']",NOT,,
95686,"['maga', 'musical_notes', 'sing', 'like', 'one', 'listening', 'heart_suit', 'love', 'like', 'never', 'hurt', 'check_mark', 'vote', 'gop', 'one', 'watching', 'hear', 'evil_monkey', 'listen', 'liberals', 'dirt', 'url']",NOT,,
71446,"['time', 'right', 'house', 'respond', 'concerns', 'canadians', 'four', 'five', 'canadians', 'support', 'stronger', 'gun', 'control', 'good', 'reason', 'guncontrol', 'cdnpoli', 'cdnhist']",NOT,,
23958,"['besides', 'jax', 'mom', 'maybe', 'ope', 'hands', 'favorite', 'like', 'good', 'person', 'show', 'face_with_tears_of_joy']",NOT,,
28195,"['gun', 'control', 'kids', 'asking']",OFF,TIN,OTH
56117,"['lol', 'throwing', 'bullshit', 'flag', 'nonsense', 'putuporshutup', 'kavanaugh', 'maga', 'callthevotealready', 'url']",OFF,TIN,IND
67757,['correct'],NOT,,
12681,"['kind', 'like', 'conservatives', 'wan', 'na', 'associate', 'everyone', 'left', 'communist', 'antifa', 'members']",OFF,TIN,GRP
82904,"['da', 'fuck', 'going', 'people', 'men', 'room', 'women', 'room', 'pick', 'one', 'stick', 'w', 'thinking_face']",OFF,TIN,GRP
63236,"['willie', 'fan', 'since', 'born', 'love', 'holding', 'rally', 'beto', 'exactly', 'fans', 'furious', 'could', 'give', 'specifics', 'url']",NOT,,
77665,"['tbh', 'days', 'like', 'people', 'general', 'connect', 'people', 'days', 'annoyance']",OFF,TIN,IND
83484,"['south', 'korean', 'official', 'leaders', 'discuss', 'specific', 'denuke', 'measures', 'pyongyang', 'url', 'tcot', 'maga', 'rednationrising']",NOT,,
74932,"['tell', 'hooper']",NOT,,
91252,"['feel', 'like', 'better', 'chasing', 'title']",NOT,,
25440,"['referring', 'hillary', 'know', 'tiresome', 'bernie', 'supporters', 'bashing', 'hillary', 'clinton', 'actual', 'democrat', 'raises', 'money', 'democratic', 'party', 'bash', 'positive', 'message', 'dividing', 'left']",OFF,UNT,
81613,"['glad', 'see', 'friends', 'supporting', 'metis', 'rights', 'much', 'supporting', 'zionists', 'url']",NOT,,
82333,"['yes', 'asking', 'movie', 'man_shrugging', 'eyes']",NOT,,
12609,"['thing', 'democrats', 'lying', 'stalling', 'stop', 'trump', 'president', 'done', 'lately', 'trump', 'kavanaugh', 'maga', 'demsuck']",OFF,TIN,GRP
13017,"['wonder', 'apologetic', 'social', 'day']",NOT,,
18129,"['updates', 'ending', 'blatant', 'racism', 'windrush', 'grenfell', 'proves', 'alloutpolitics', 'politicslive', 'pmqs', 'url']",NOT,,
70380,"['know', 'going', 'happen', 'going', 'lay', 'bed', 'cry', 'listen', 'kelly', 'clarkson', 'thanks', 'free', 'speech', 'antifa']",NOT,,
12108,"['smart', 'think', 'gen', 'flynn', 'sentencing', 'keeps', 'rescheduled', 'url']",OFF,TIN,IND
14726,"['expected', 'placate', 'violent', 'leftists', 'terrorists', 'kavanaughconfirmation', 'woke']",OFF,TIN,GRP
74358,"['blow', 'hard']",NOT,,
82599,"['means', 'max', 'lvl', 'twitter', 'user', 'maybe', 'try', 'new', 'game']",NOT,,
40212,"['please', 'explain', 'controlled', 'opposition', 'means', 'bernier', 'escaping', 'split', 'rest', 'conservatives', 'even', 'racist', 'exclusionary', 'want']",NOT,,
